"",Jahr,Ressort,Land,Projekt,Volumen,Haushaltstitel,"Art derMaßnahme"
"",2007,BMZ,Afghanistan,Unterstützung der Entwicklung des staatlichen Medienkonzerns RTA zu einer pluralistischen Berichterstattung,"16.984,88 €",2302/68508,zivil
"",2007,BMZ,Afghanistan,Sektorprogramm Medienförderung 2007,"90.765,00 €",2302/68541,zivil
"",2007,BMZ,Afghanistan,Sektorprogramm Medienförderung,"1.206,00 €",2302/68541,zivil
"",2007,BMZ,Afghanistan,Psychosoziale Beratung und Betreuung von Kriegsopfern in Afghanistan,"215.300,43 €",2302/68703,zivil
"",2007,BMZ,Afghanistan,Politischer Dialog und Institutionenförderung in Pakistan und Afghanistan,"649.380,13 €",2302/68704,zivil
"",2007,BMZ,Afghanistan,Dienstleistungen und Institutionen zur Unterstützung der Privatwirtschaft,"8.625,58 €",2302/68740,zivil
"",2007,BMZ,Afghanistan,Fortbildung von Fach- und Führungskräften,"491.379,87 €",2302/68740,zivil
"",2007,BMZ,Afghanistan,Dienstleistungen und Institutionen zur Unterstützung der Privatwirtschaft,"384.533,96 €",2302/68740,zivil
"",2007,BMZ,Afghanistan,Grundlegende Versorgung im Bereich Trinkwasser und Abwasser,"123.262,33 €",2302/68740,zivil
"",2007,BMZ,Afghanistan,Elektrizitätserzeugung/ erneuerbare Energien,"125.215,23 €",2302/68740,zivil
"",2007,BMZ,Afghanistan,Bildungseinrichtungen und Fortbildung,"296.608,69 €",2302/68740,zivil
"",2007,BMZ,Afghanistan,"Zivile Friedensentwicklung, Krisenprävention und Konfliktlösung","126.505,56 €",2302/68740,zivil
"",2007,BMZ,Afghanistan,Freier Informationsfluss,"126.505,56 €",2302/68740,zivil
"",2007,BMZ,Afghanistan,Berufliche Bildung,"97.385,59 €",2302/68740,zivil
"",2007,BMZ,Afghanistan,Wiederaufbauhilfe -und Wiederherstellungsmaßnahmen,"25.598,50 €",2302/68740,zivil
"",2007,BMZ,Afghanistan,Dienstleistungen und Institutionen zur Unterstützung der Privatwirtschaft,"66.222,20 €",2302/68740,zivil
"",2007,BMZ,Afghanistan,Leistungen an lokale und regionale NRO,"35.220,50 €",2302/68740,zivil
"",2007,BMZ,Afghanistan,Dienstleistungen und Institutionen zur Unterstützung der Privatwirtschaft,"60.646,66 €",2302/68740,zivil
"",2007,BMZ,Afghanistan,Kurse zur Förderung der Aus- und Weiterbildung von Frauen in der Region Andkhoi / Afghanistan,"28.800,00 €",2302/89604,zivil
"",2007,BMZ,Afghanistan,"Bau von zwei Grundschulen in Haidar und Pedgah, Bezirk Jaghori, Afghanistan","32.300,00 €",2302/89604,zivil
"",2007,BMZ,Afghanistan,"Überdachung von vorhandenen, von VUSAF gebauten Wasserbecken in Nord Afghanistan","7.500,00 €",2302/89604,zivil
"",2007,BMZ,Afghanistan,Unterstützung des VUSAF Education Center in Andkhoi/ Afghanistan,"30.000,00 €",2302/89604,zivil
"",2007,BMZ,Afghanistan,"Wasserversorgung Kabul II, Phase II - (Keine Vorschläge) -","550.000,00 €",86611/89611,zivil
"",2007,BMZ,Afghanistan,Bildungsarbeit und Zivile Konfliktbearbeitung für gerechten und dauerhaften Frieden,"828.256,00 €",2302/68702,zivil
"",2007,BMVg,Afghanistan,Projekt „Provinzentwicklungsfonds in Nordost-Afghanistan“ (Federführendes Ressort: BMZ),"2.570.000,00 €",1402 687 01,militärisch
"",2007,BMVg,Afghanistan,Projekt „Deutsche Welle-Radio für Afghanistan“ (Federführendes Ressort: AA),"290.000,00 €",1402 687 01,militärisch
"",2007,BMVg,Afghanistan,Abgabe von Sanitätsgerät nach Epl 14 Kapitel 1407 Einnahmen Haushaltsvermerk Nr.12,"62.641,00 €",132 01,zivil
"",2008,AA,Afghanistan,Lehrgang für afghanische Diplomaten,"120.303,00 €",0502 68729,zivil
"",2008,AA,Afghanistan,Humanitäre Hilfe und humanitäres Minenräumen,"7.100.000,00 €",0502 68729,zivil
"",2008,AA,Afghanistan,Menschenrechte und Demokratisierung,"208.666,00 €",0502 68729,zivil
"",2008,AA,Afghanistan,Drogenbekämpfung,"2.044.624,45 €",0502 68729,zivil
"",2008,AA,Afghanistan,Aufbau der afghanischen Polizei,"40.384.863,91 €",0502 68729,polizeilich
"",2008,AA,Afghanistan,Förderung des Aufbaus von Wirtschaftsstrukturen,"300.000,00 €",0502 68729,zivil
"",2008,AA,Afghanistan,Kultur- und Medienförderung in Afghanistan,"169.356,17 €",0502 68729,zivil
"",2008,AA,Afghanistan,Förderung des Islamdialogs,"144.575,00 €",0502 68729,zivil
"",2008,AA,Afghanistan,Richterausbildung Oberster Gerichtshof,"731.384,00 €",0502 68729,zivil
"",2008,AA,Afghanistan,Zivilgesellschaftliche Stabilisierung: Projekt Shamshad TV,"260.000,00 €",0502 68729,zivil
"",2008,AA,Afghanistan,Capacity Building im öffentlichen Dienst: Programm integrierte Fachkräfte für Afghanistan (CIM),"56.664,31 €",0502 68729,zivil
"",2008,AA,Afghanistan,"Strafrechtsreform, Strafrechtsberatung in Nordostafghanistan","471.537,57 €",0502 68729,zivil
"",2008,AA,Afghanistan,Verbesserter Zugang zu den Gerichten für afghanische Frauen und Mädchen,"343.199,85 €",0502 68729,zivil
"",2008,AA,Afghanistan,Unterstützung Aufbau afghanisches Rechtssystem,"439.633,16 €",0502 68729,zivil
"",2008,AA,Afghanistan,"Gesundheit/ Umfeldstabilisierung RC North: Rehabilitierung Balkh Krankenhaus, Masar-e-Sharif","1.222.000,00 €",0502 68729,zivil
"",2008,AA,Afghanistan,Förderung der Zivilgesellschaft: Konferenzen zu einem sicheren und unabhängigen Afghanistan,"1.562.981,96 €",0502 68729,zivil
"",2008,AA,Afghanistan,Zivil-militär. Zusammenarbeit/ Gesundheit: Medikamentenhilfe Chak-e-Wardak,"60.967,00 €",0502 68729,zivil
"",2008,AA,Afghanistan,Gesundheit/Frauenförderung: Gesundheitsversorgung Herat,"248.040,00 €",0502 68729,zivil
"",2008,AA,Afghanistan,Förderung der Beruflichen Bildung/ Schwerpunkt Südafghanistan,"1.361.144,00 €",0502 68729,zivil
"",2008,AA,Afghanistan,"Berufliche Bildung. ""Bau der Berufsschule Astana""","110.000,00 €",0502 68729,zivil
"",2008,AA,Afghanistan,"Stärkung der wirtschaftlichen und sozialen Stellung von Frauen, Panjshir","1.778.834,00 €",0502 68729,zivil
"",2008,AA,Afghanistan,"Wahlvorbereitung / Aufbau staatlicher Institutionen 2009/10: UNDP ELECT, Einteilung der Wahlbezirke, Wählerregistrierung","6.789.327,00 €",0502 68729,zivil
"",2008,AA,Afghanistan,Förderung der Zivilgesellschaft: Civil Service Leadership Development Program UNDP,"1.049.087,92 €",0502 68729,zivil
"",2008,AA,Afghanistan,Förderung der Zivilgesellschaft: Criminal Justice Capacity Building,"1.245.241,12 €",0502 68729,zivil
"",2008,AA,Afghanistan,Umfeldstabilisierung PRT Faisabad: Infrastrukturprojekte,"230.538,10 €",0502 68729,zivil
"",2008,AA,Afghanistan,Umfeldstabilisierung PRT Faisabad: Capacity Building in der öffentlichen Verwaltung und Förderung von Mädchenschulen in Brennpunktdistrikten,"682.964,15 €",0502 68729,zivil
"",2008,AA,Afghanistan,Vorbereitung der Wahlen über die Zivilgesellschaft (FEFA),"15.171,19 €",0502 68729,zivil
"",2008,AA,Afghanistan,Umfeldstabilisierung PRT Kundus/PAT Taloqan/Zivil-milit. Zusammenarbeit: Infrastrukturmaßnahmen,"855.433,94 €",0502 68729,zivil
"",2008,AA,Afghanistan,Förderung der Zivilgesellschaft: Austausch mit 5 Teilmaßnahmen zwischen AFG und PAK,"70.000,00 €",0502 68729,zivil
"",2008,AA,Afghanistan,Förderung der Zivilgesellschaft: Austausch von Parlamentariern und Mitgliedern der Parlamentsverwaltungen,"73.519,00 €",0502 68729,zivil
"",2008,AA,Afghanistan,"Konferenz ""Building Political and Economic Linkages between South Asia and Central Asia""","20.520,00 €",0502 68729,zivil
"",2008,AA,Afghanistan,"Umfeldstabilisierung Norden, Kabul, Kundus, Projekt zur Alphabetisierung und Erwachsenenbildung","202.131,60 €",0502 68729,zivil
"",2008,AA,Afghanistan,Aufbau staatlicher Institutionen: Stärkung lokaler Behördenstrukturen in Herat,"85.000,00 €",0502 68729,zivil
"",2008,AA,Afghanistan,Aufbau staatlicher Institutionen: Unterstützung des Tribal Liaison Office,"47.128,00 €",0502 68729,zivil
"",2008,BMZ,Afghanistan,Erneuerbare Energien u. Energieeffizienz in ländlichen Regionen,"78.212,38 €",2301/89603,zivil
"",2008,BMZ,Afghanistan,Förderung von Betreiberstrukturen der Trinkwasserver- und Abwasserentsorgung in den Provinzen,"1.008.828,19 €",2301/89603,zivil
"",2008,BMZ,Afghanistan,Programm Förderung der Grundbildung,"-2.508,61 €",2301/89603,zivil
"",2008,BMZ,Afghanistan,Unterstützung internat. Programme im Bereich der politischen und wirtschaftlichen Regierungsführung,"117.507,84 €",2301/89603,zivil
"",2008,BMZ,Afghanistan,Aus- und Fortbildung / Re-Qualifizierung von Frauen,"9.355,82 €",2301/89603,zivil
"",2008,BMZ,Afghanistan,Reform des Wassersektors,"291.794,97 €",2301/89603,zivil
"",2008,BMZ,Afghanistan,Förderung der Rechtsstaatlichkeit,"1.704.843,27 €",2301/89603,zivil
"",2008,BMZ,Afghanistan,Regionale Wirtschafts- und Verwaltungsförderung Nordosten,"71.388,44 €",2301/89603,zivil
"",2008,BMZ,Afghanistan,Exportförderung und WTO-Beitritt,"81.925,50 €",2301/89603,zivil
"",2008,BMZ,Afghanistan,Programm Förderung der Grundbildung,"2.947.445,57 €",2301/89603,zivil
"",2008,BMZ,Afghanistan,Programm zur Verbesserung der Wasserversorgung,"1.306.062,27 €",2301/89603,zivil
